person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q30164280,Wera Hobhouse,https://en.wikipedia.org/wiki/Wera_Hobhouse,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q7983764,Wes Streeting,https://en.wikipedia.org/wiki/Wes_Streeting,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75838851,Will Forster,https://en.wikipedia.org/wiki/Will_Forster,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126852621,Will Stone,https://en.wikipedia.org/wiki/Will_Stone,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q267930,Yasmin Qureshi,https://en.wikipedia.org/wiki/Yasmin_Qureshi,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q119840433,Yuan Yang,https://en.wikipedia.org/wiki/Yuan_Yang,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q291057,Yvette Cooper,https://en.wikipedia.org/wiki/Yvette_Cooper,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q63929279,Zarah Sultana,https://en.wikipedia.org/wiki/Zarah_Sultana,member of the 59th Parliament of the United Kingdom,independent politician
http://www.wikidata.org/entity/Q107281550,Zubir Ahmed,https://en.wikipedia.org/wiki/Zubir_Ahmed,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75838957,Zöe Franklin,https://en.wikipedia.org/wiki/Z%C3%B6e_Franklin,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q52587398,Órfhlaith Begley,https://en.wikipedia.org/wiki/%C3%93rfhlaith_Begley,member of the 59th Parliament of the United Kingdom,Sinn Féin
