person,personLabel,enwiki,start,positionLabel,partyLabel
http://www.wikidata.org/entity/Q1033657,Cansu Özdemir,https://en.wikipedia.org/wiki/Cansu_%C3%96zdemir,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q1035894,Caren Lay,https://en.wikipedia.org/wiki/Caren_Lay,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q1035894,Caren Lay,https://en.wikipedia.org/wiki/Caren_Lay,2025-03-25T00:00:00Z,member of the German Bundestag,Party of Democratic Socialism
http://www.wikidata.org/entity/Q132733587,Carina Schießl,https://en.wikipedia.org/wiki/Carina_Schie%C3%9Fl,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733584,Carl-Philipp Sassenrath,https://en.wikipedia.org/wiki/Carl-Philipp_Sassenrath,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q108705715,Carmen Wegge,https://en.wikipedia.org/wiki/Carmen_Wegge,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108731849,Carolin Bachmann,https://en.wikipedia.org/wiki/Carolin_Bachmann,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q108760467,Carolin Wagner,https://en.wikipedia.org/wiki/Carolin_Wagner,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q106618306,Caroline Bosbach,https://en.wikipedia.org/wiki/Caroline_Bosbach,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q111607272,Carsten Becker,https://en.wikipedia.org/wiki/Carsten_Becker,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q40998983,Carsten Brodesser,https://en.wikipedia.org/wiki/Carsten_Brodesser,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
