title,n_v02,n_wiki,sim_mean,sim_median,sim_max,sim_p90
1-2-switch,88,4,0.6185885071754456,0.6300729513168335,0.8486297130584717,0.738861083984375
1-docosanol,96,3,0.6158939599990845,0.6412161588668823,0.8420721292495728,0.7534166574478149
1-hexene,78,5,0.5956590175628662,0.6010310649871826,0.8528371453285217,0.7346332669258118
1-octene,90,4,0.546936571598053,0.5463168621063232,0.8266350030899048,0.6935771703720093
1. fc frankfurt,133,10,0.5193396210670471,0.5108062028884888,0.8642266392707825,0.6885192394256592
1. fc slovácko,158,4,0.5843848586082458,0.5774451494216919,0.8811690807342529,0.7453659176826477
10 agorot controversy,64,4,0.5888250470161438,0.5930985808372498,0.8912707567214966,0.7293180227279663
10 cm m. 14 feldhaubitze,74,8,0.5742532014846802,0.5639467239379883,0.8283318877220154,0.7121323347091675
10 minutes 38 seconds in this strange world,114,2,0.534856379032135,0.5619992017745972,0.8932807445526123,0.6640498042106628
10 years discography,86,1,0.5065833926200867,0.515536904335022,0.7554022073745728,0.6449917554855347
"10,000 gecs",128,8,0.5406911969184875,0.5489590764045715,0.8274557590484619,0.6652719974517822
100 (glee),81,13,0.5492735505104065,0.5477015972137451,0.8808691501617432,0.6832407116889954
100 days to heaven,100,7,0.5104803442955017,0.5027310848236084,0.8277250528335571,0.6594050526618958
100 mm anti-tank gun m1977,55,2,0.6310458183288574,0.6471152305603027,0.9035500288009644,0.7933999300003052
100 peaks of taiwan,128,5,0.6339182257652283,0.6403112411499023,0.9158155918121338,0.7858909964561462
100 years (film),69,4,0.6089053153991699,0.6037210822105408,0.8970139622688293,0.7337076663970947
1000 metres world record progression,73,1,0.5368167161941528,0.5643911361694336,0.7663822770118713,0.6769264340400696
1000 yen note,81,1,0.5711730122566223,0.5777547955513,0.8022160530090332,0.6897246241569519
1001 arabian nights (1959 film),69,7,0.5147174596786499,0.521927535533905,0.9026646614074707,0.712219774723053
101 vagina,73,2,0.6455870270729065,0.6495120525360107,0.9082624316215515,0.7514826655387878
102nd infantry division (united states),84,6,0.4994504153728485,0.49877089262008667,0.8359473943710327,0.6364636421203613
104 (number),45,1,0.4765367805957794,0.4800228476524353,0.768441915512085,0.704488217830658
105 mm calibre,145,3,0.5553669333457947,0.5520509481430054,0.8368477821350098,0.674676239490509
106th guards airborne division,107,1,0.490820050239563,0.49525541067123413,0.8078581690788269,0.6216777563095093
10th arrondissement of paris,183,3,0.44524216651916504,0.4538916349411011,0.7852087020874023,0.5944153666496277
10th century in england,261,1,0.3649957776069641,0.3589286208152771,0.5954763889312744,0.4545177221298218
10th royal hussars,182,4,0.5008010268211365,0.5227155685424805,0.8792890906333923,0.6616420745849609
111th grey cup,146,14,0.5199815034866333,0.5316874980926514,0.8894120454788208,0.688858687877655
112th united states congress,327,4,0.4100768566131592,0.40043359994888306,0.8397437930107117,0.5422044992446899
116th infantry brigade combat team,150,17,0.4894028604030609,0.48493286967277527,0.8655550479888916,0.6229409575462341
11th army (wehrmacht),156,1,0.45685508847236633,0.44997090101242065,0.7635319232940674,0.5976784229278564
11th century,280,10,0.4022282063961029,0.39672189950942993,0.8045409321784973,0.532116174697876
12 'o' clock (film),58,6,0.4867052137851715,0.498619943857193,0.918893039226532,0.70257568359375
12 angry men (1957 film),155,23,0.4253426790237427,0.42843183875083923,0.8664174675941467,0.5856728553771973
12 bar bruise,80,1,0.6587834358215332,0.6838183403015137,0.8922405242919922,0.7925640940666199
12 gauge,65,1,0.3958292007446289,0.40320244431495667,0.5304628610610962,0.46067067980766296
12 monkeys (tv series),141,6,0.4535566568374634,0.46294158697128296,0.81336510181427,0.5981740951538086
12-3 incident,110,32,0.5907514691352844,0.5954940915107727,0.8904572129249573,0.6984349489212036
12-inch coast defense mortar,119,24,0.4875365197658539,0.4861091375350952,0.8114621639251709,0.6258267164230347
12-inch gun m1895,89,5,0.544052243232727,0.5359926223754883,0.8613162040710449,0.6983682513237
125th street station (irt lexington avenue line),175,6,0.48644450306892395,0.4850519895553589,0.9187840223312378,0.6001787781715393
13 going on 30,111,11,0.43099144101142883,0.4459099769592285,0.8564680218696594,0.6237889528274536
130 53 tk,50,4,0.6098718047142029,0.610822319984436,0.9181357622146606,0.7810078263282776
133 (number),40,1,0.5698944330215454,0.600105881690979,0.8551349639892578,0.7631323337554932
13th airborne division (united states),114,8,0.5317080020904541,0.5284757614135742,0.8300632834434509,0.6628918647766113
13th armored division (united states),85,5,0.5231147408485413,0.510738730430603,0.8716878294944763,0.693362295627594
13th parliament of kenya,180,1,0.5432965755462646,0.5258324146270752,0.8039540648460388,0.689852237701416
144 (film),56,3,0.5144434571266174,0.5090253949165344,0.8696222305297852,0.6799895763397217
15 cm kanone 18,36,2,0.6503075361251831,0.6480908393859863,0.8774880170822144,0.7832208275794983
15 cm sig 33,84,3,0.6170351505279541,0.6099505424499512,0.8503509759902954,0.7540066242218018
15 kv ac railway electrification,135,13,0.522911548614502,0.5228444337844849,0.8215634226799011,0.6680997610092163
150 (number),99,1,0.43791189789772034,0.4346442222595215,0.7209815979003906,0.5909833908081055
1524,39,1,0.333945095539093,0.33165884017944336,0.4956629276275635,0.44326549768447876
15th gujarat assembly,211,4,0.5430324077606201,0.5385711193084717,0.8777283430099487,0.6888907551765442
16 biggest hits (johnny cash album),80,1,0.5650095343589783,0.548954963684082,0.8173545598983765,0.6888281106948853
160th special operations aviation regiment (airborne),161,3,0.5083492994308472,0.4837651252746582,0.8192312121391296,0.6506457328796387
16th infantry regiment (united states),272,1,0.4317512512207031,0.4378179907798767,0.7378121018409729,0.5518905520439148
16th legislature of the french fifth republic,203,2,0.5045669674873352,0.5029928684234619,0.850528359413147,0.6464225053787231
16volt,140,6,0.5853500962257385,0.5855159163475037,0.8838558197021484,0.7007746696472168
1700–1750 in western fashion,188,6,0.5256794691085815,0.5223243236541748,0.7885383367538452,0.6261239051818848
1737 kamchatka earthquake,77,3,0.6081891655921936,0.6114822626113892,0.901029109954834,0.7632200717926025
1757,70,1,0.2957491874694824,0.2843145430088043,0.6136903762817383,0.4583299458026886
176 (number),72,1,0.5701454877853394,0.5682822465896606,0.7943452000617981,0.7414085865020752
1766 istanbul earthquake,89,9,0.5730991363525391,0.5781928896903992,0.8787476420402527,0.7319475412368774
1769 transit of venus observed from tahiti,139,14,0.5180708169937134,0.5225801467895508,0.8359041213989258,0.6603039503097534
1776 returns,196,8,0.5690616369247437,0.5819617509841919,0.8540365695953369,0.72726970911026
1792,76,1,0.32887932658195496,0.3266657888889313,0.5748658180236816,0.45152056217193604
1792 unzen landslide and tsunami,88,4,0.5730471611022949,0.5897790193557739,0.8718296885490417,0.7094597220420837
1825,133,1,0.31761640310287476,0.3384579122066498,0.5800377130508423,0.42905518412590027
1830,82,1,0.36908116936683655,0.3803043067455292,0.6627222299575806,0.4796708822250366
1832 united states presidential election,187,3,0.5357025265693665,0.5370254516601562,0.9005857706069946,0.693497359752655
1850s in western fashion,135,4,0.5210707783699036,0.5138920545578003,0.7996547818183899,0.6675541996955872
1852 united states presidential election,173,3,0.5198429226875305,0.5299253463745117,0.9068945646286011,0.6663622260093689
1857,155,1,0.3230077922344208,0.30282002687454224,0.5597420930862427,0.475788414478302
1859,128,2,0.32060471177101135,0.3097355365753174,0.5979822874069214,0.4660469889640808
1864–65 united states house of representatives elections,334,7,0.5197860598564148,0.5222433805465698,0.8118805289268494,0.6459246873855591
1868–69 united states house of representatives elections,456,6,0.5123005509376526,0.5088902711868286,0.8719397187232971,0.6577504873275757
1869,94,1,0.3052176237106323,0.28950923681259155,0.5572667121887207,0.37131932377815247
1880s,200,2,0.3616413474082947,0.35526779294013977,0.6853722333908081,0.48615753650665283
