title,n_v02,n_v01,sim_mean,sim_median,sim_max,sim_p90
jiangmen,395,260,0.4332137703895569,0.4256659150123596,0.9955399632453918,0.5932478904724121
jiangshi,109,17,0.5814674496650696,0.584567666053772,0.863172173500061,0.7167248725891113
jibarito,87,4,0.6689624190330505,0.6875661611557007,0.9327501058578491,0.7873053550720215
jif (lemon juice),82,28,0.5569325089454651,0.5518285036087036,0.8757458329200745,0.7205316424369812
jigme wangchuck,92,70,0.6210399270057678,0.6178591251373291,0.9973069429397583,0.7554656267166138
jil teichmann,205,46,0.5715095400810242,0.5649431943893433,0.893061101436615,0.729827880859375
jill summers,56,10,0.5651834011077881,0.5583908557891846,0.9029567241668701,0.694923460483551
jillian rose reed,70,4,0.5378608703613281,0.5196959972381592,0.8445878028869629,0.747276246547699
jim allister,113,89,0.6128725409507751,0.6092700958251953,0.9958747625350952,0.7545791864395142
jim boni,68,4,0.613418698310852,0.6040636897087097,0.893336832523346,0.8031381964683533
jim broadbent on screen and stage,105,1,0.4792362153530121,0.4804801344871521,0.669585108757019,0.5623178482055664
jim bunning,172,112,0.522976815700531,0.5171970129013062,0.9963502287864685,0.6902645230293274
jim carrey filmography,104,6,0.4866507649421692,0.48669248819351196,0.8466010093688965,0.6546682119369507
jim caviezel,151,91,0.4722628891468048,0.4584963619709015,0.9947953820228577,0.6533543467521667
jim chapman (youtuber),86,4,0.5512612462043762,0.5676798820495605,0.8613887429237366,0.6862958669662476
jim clark (sheriff),116,93,0.5510116815567017,0.5548170804977417,0.9971157908439636,0.7154442071914673
jim crane,151,89,0.5023260712623596,0.5025417804718018,0.9949136972427368,0.6906771659851074
jim e. mora,99,28,0.5730260610580444,0.5736233592033386,0.9108908176422119,0.7124966979026794
jim fenner,69,11,0.4566579759120941,0.4681139886379242,0.8548154234886169,0.6843843460083008
jim hunt,196,140,0.5330180525779724,0.5354729294776917,0.9971897602081299,0.7050735354423523
jim jarmusch filmography,86,1,0.5275161862373352,0.5339622497558594,0.701792299747467,0.6253707408905029
jim jones discography,85,7,0.5530416369438171,0.5500346422195435,0.8323537111282349,0.6698229312896729
jim kay,104,4,0.6172067523002625,0.6247475147247314,0.8707982301712036,0.7496935129165649
jim kerr,132,83,0.45899614691734314,0.4543361961841583,0.9966791868209839,0.6096521615982056
jim laker,146,95,0.5344269871711731,0.5272177457809448,0.8974367380142212,0.6769400238990784
jim mackonochie,41,1,0.7065773010253906,0.7205520272254944,0.9070169925689697,0.7745575904846191
jim mcgovern (american politician),170,105,0.5186429619789124,0.507136344909668,0.994539201259613,0.6724781394004822
jim riggleman,129,18,0.6143149733543396,0.6282173991203308,0.9057542085647583,0.7491491436958313
jim rose circus,136,5,0.581343412399292,0.5859171152114868,0.8576932549476624,0.685698926448822
jim shooter,152,110,0.5666421055793762,0.5533275604248047,0.9952741861343384,0.7298805713653564
jim swire,156,117,0.4899984300136566,0.4777224659919739,0.9949674606323242,0.6979420781135559
jim whitehurst,88,59,0.5475095510482788,0.5461990833282471,0.9936742186546326,0.759503185749054
jim wise,73,3,0.5290384888648987,0.517562747001648,0.8568888306617737,0.6883581280708313
jimi heselden,69,49,0.5480093955993652,0.5453068614006042,0.9956358671188354,0.7640364766120911
jimjam,93,6,0.6103139519691467,0.6147383451461792,0.8878318071365356,0.7336081862449646
jimma university,113,11,0.5964221954345703,0.6005784273147583,0.8830798864364624,0.7205366492271423
jimmi simpson,114,17,0.4838765859603882,0.47614485025405884,0.8481844663619995,0.6341354250907898
jimmie f. skaggs,37,2,0.5886538028717041,0.5952011942863464,0.7665867805480957,0.6574954390525818
jimmie lunceford,125,97,0.588263750076294,0.585364818572998,0.9957191348075867,0.733555018901825
jimmie vaughan,119,80,0.5606557130813599,0.5596433877944946,0.9966214299201965,0.7046602964401245
jimmie ward,111,37,0.566940426826477,0.5717779397964478,0.8887397050857544,0.7107755541801453
jimmy barry-murphy,124,65,0.632988452911377,0.6486546993255615,0.8967736959457397,0.768751859664917
jimmy clausen,102,32,0.5623310804367065,0.5489217638969421,0.9125257730484009,0.7154969573020935
jimmy doolittle,194,155,0.48264697194099426,0.47779586911201477,0.9975423216819763,0.6405618190765381
jimmy doyle (boxer),56,4,0.6944645643234253,0.6931177377700806,0.9288297295570374,0.8133295774459839
jimmy driftwood,90,73,0.5501940846443176,0.547738790512085,0.9958157539367676,0.7417640089988708
jimmy garoppolo,134,35,0.5426698327064514,0.5323240160942078,0.9007059335708618,0.6788338422775269
jimmy griffin,100,11,0.507641077041626,0.505361795425415,0.8722857236862183,0.6535871028900146
jimmy kennedy,50,7,0.5428603291511536,0.5368486642837524,0.8951863646507263,0.7022764086723328
jimmy maccarthy,144,108,0.5470967888832092,0.5409724712371826,0.994957447052002,0.7027066946029663
jimmy nanda,42,1,0.6267440319061279,0.6519508361816406,0.9275409579277039,0.7808051705360413
jimmy nelson (baseball),81,9,0.6171870827674866,0.6064788103103638,0.9163393974304199,0.7713965177536011
jimmy pedro,89,4,0.6301969885826111,0.6246529817581177,0.8423694372177124,0.7315945625305176
jimmy rogers,81,6,0.6049045920372009,0.6012067794799805,0.8543532490730286,0.7248029112815857
jimmy rowles,85,11,0.5329926013946533,0.5418704748153687,0.8777753710746765,0.6766575574874878
jimmy snuggerud,94,7,0.7154199481010437,0.7136296033859253,0.9371199607849121,0.8393909335136414
jimmy snuka,226,152,0.5650667548179626,0.5573287010192871,0.9968645572662354,0.7101925611495972
jimmy somerville discography,180,12,0.44120702147483826,0.4466036856174469,0.8419691324234009,0.5906153321266174
